281,102,689,102,689,353,281,353,RB
224,447,769,447,769,501,224,501,RED & BLUE
177,551,845,551,845,605,177,605,MONDAY-THURSDAY
353,612,597,612,597,668,353,668,5PM ET
988,25,1247,25,1247,62,988,62,WE'LL BE
995,64,1245,64,1245,125,995,125,RIGHT
992,126,1256,126,1256,198,992,198,BACK
1072,483,1229,483,1229,510,1072,510,HURRICANE
1070,509,1212,509,1212,546,1070,546,MICHAEL
1010,558,1232,558,1232,583,1010,583,cbsnews.com/michael
1111,591,1195,591,1195,614,1111,614,LIVE
1077,624,1235,624,1235,674,1077,674,CBSN
