106,447,875,447,875,496,106,496,"MONSTROUS" HURRICANE
111,496,703,496,703,545,111,545,MICHAEL GAINS NEW
106,545,731,545,731,595,106,595,STRENGTH AS IT EYES
110,596,618,596,618,646,110,646,FLORIDA'S COAST
1071,487,1226,487,1226,509,1071,509,HURRICANE
1069,512,1208,512,1208,548,1069,548,MICHAEL
1010,561,1229,561,1229,581,1010,581,cbsnews.com/michael
1112,590,1198,590,1198,613,1112,613,LIVE
1075,625,1235,625,1235,674,1075,674,CBSN
549,364,675,364,675,387,549,387,1 PM Tue CDT
514,399,545,399,545,419,514,419,2
511,302,534,302,534,327,511,327,3
541,205,562,205,562,231,541,231,3
635,4,732,4,732,30,635,30,Greenville
453,60,571,60,571,81,453,81,Birmingham
579,54,653,54,653,75,579,75,Atlanta
328,219,458,219,458,239,328,239,New Orleans
153,226,235,226,235,247,153,247,Houston
13,241,132,241,132,261,13,261,San Antonio
67,204,133,204,133,223,67,223,Austin
107,90,170,90,170,113,107,113,Dallas
1,35,58,35,58,59,1,59,at PDT
4,405,58,405,58,430,4,430,errey
1,610,50,610,50,635,1,635,etaro
1,651,112,651,112,676,1,676,Mexico City
46,683,115,683,115,703,46,703,Puebla
731,397,798,397,798,420,731,420,Miami
645,312,717,312,717,333,645,333,Tampa
685,276,764,276,764,297,685,297,Orlando
543,269,674,269,674,291,543,291,1 AM Wed CDT
571,166,705,166,705,191,571,191,1 PM Wed CDT
649,205,768,205,768,226,649,226,Jacksonville
1015,684,1115,684,1115,705,1015,705,Port-au-
1125,690,1195,690,1195,718,1125,718,Santo
