345,38,519,38,519,62,345,62,CBS NEWS
690,347,737,347,737,416,690,416,C
86,610,975,610,975,650,86,650,U.N. AMBASSADOR NIKKI HALEY RESIGNING
85,657,918,657,918,683,85,683,CONFIRMS SHE'S LEAVING POST AT END OF THE YEAR
1076,623,1239,623,1239,674,1076,674,CBSN
1011,560,1232,560,1232,581,1011,581,cbsnews.com/michael
1071,508,1208,508,1208,548,1071,548,MICHAEL
1073,486,1229,486,1229,509,1073,509,HURRICANE
1121,106,1280,106,1280,163,1121,163,CBSN
1105,164,1280,164,1280,191,1105,191,WASHINGTON
2,638,20,638,20,661,2,661,E
44,640,63,640,63,661,44,661,W
